BHA - PUBLIC HOUSING DEMOGRAPHICS AS OF 12/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev #,Development,HHTotal,MembTotal,Age0-5,Age6-13,Age14-15,Age16-17,Age18-21,Age22-24,Age25-50,Age51-61,Age62+,White,Black,Hispanic,AmIndian,Asian,NatHawPacOth,$0-$4.9K,$5K-$9.9K,$10K-$14.9K,$15K-$19.9K,$20K-$24.9K,$25-$29.9K,$30K+,Average,Median
236,West Ninth Street,83,96,0,0,0,1,0,0,7,18,70,83,4,10,1,8,0,2,16,34,13,5,3,10,"$16,393","$12,161"
237,J J Carroll,62,82,0,0,1,1,1,3,10,13,53,49,21,8,0,12,0,2,13,22,16,4,2,3,"$14,246","$11,370"
238,Meade Apartments,39,46,0,1,0,0,0,0,2,6,37,8,36,6,0,2,0,3,6,22,3,4,1,0,"$12,181","$10,409"
240,MLK Towers,100,111,0,1,0,0,2,0,8,20,80,32,79,34,0,0,0,11,24,45,10,8,1,1,"$11,437","$10,376"
241,Eva White,102,132,0,1,1,0,2,0,17,14,97,37,15,16,2,74,4,4,12,56,23,3,2,2,"$12,994","$10,496"
242,Walnut Park,156,176,0,0,0,0,2,1,18,30,125,58,112,64,0,6,0,24,41,73,10,7,1,1,"$10,348","$10,169"
244,Frederick Douglas,75,85,0,0,0,0,0,0,6,18,61,23,35,21,0,27,0,11,14,40,4,1,1,4,"$11,775","$10,582"
245,Amory Street,195,225,2,2,0,1,0,0,22,33,165,107,114,95,1,3,0,13,44,93,27,5,4,8,"$12,777","$10,582"
247,General Warren,93,101,0,0,0,0,1,0,4,20,76,83,7,17,1,7,1,5,13,43,10,5,4,11,"$15,649","$10,980"
249,Torre Unidad,193,228,0,0,0,0,0,0,19,28,181,80,43,48,0,105,0,16,37,93,29,6,2,10,"$13,141","$10,575"
250,Rockland Towers,66,69,0,0,0,0,0,0,7,16,46,45,22,17,1,1,0,1,19,29,9,2,3,3,"$13,458","$10,582"
251,Codman Apartments,96,118,0,3,3,0,0,0,19,17,76,14,98,14,1,1,4,3,24,40,12,6,8,3,"$13,987","$10,535"
252,Heritage - PHA Owned,28,37,1,1,0,0,1,0,8,4,22,26,7,12,0,4,0,5,4,10,3,1,0,5,"$16,599","$10,343"
253,St Botolph Street,130,153,1,2,0,0,0,0,13,32,105,73,39,22,0,41,0,9,15,67,25,5,4,5,"$13,279","$10,582"
254,Pasciucco,89,104,1,2,1,0,0,1,12,13,74,25,70,21,1,8,0,4,24,36,20,3,1,1,"$12,101","$10,342"
257,Lower Mills-PHA Owned,15,16,0,0,0,0,0,0,0,4,12,2,11,0,1,2,0,2,6,4,2,0,0,1,"$12,484","$9,917"
261,Ausonia Homes,99,118,0,0,0,0,0,0,15,21,82,90,15,14,1,12,0,11,16,40,13,5,7,7,"$14,357","$12,792"
262,Hassan Apartments,98,111,0,0,0,0,1,1,10,19,80,12,98,15,1,0,0,5,23,51,12,2,4,1,"$12,129","$10,582"
270,Spring Street,101,116,0,1,1,0,0,3,14,13,84,83,27,18,2,2,2,7,12,49,16,4,5,8,"$14,484","$11,364"
271,Patricia White,220,262,0,0,0,0,1,0,25,41,195,179,60,31,1,22,0,12,33,122,32,7,6,8,"$13,264","$10,343"
272,Roslyn Apartments,117,138,1,0,0,0,2,0,9,27,99,74,63,36,0,0,1,8,26,58,13,2,5,5,"$13,101","$10,582"
277,Bellflower Street,113,126,0,0,0,0,1,1,12,27,85,66,51,14,0,9,0,7,21,53,16,11,2,3,"$13,287","$10,582"
283,Peabody Square,99,115,0,0,0,0,0,1,8,21,85,30,57,18,1,27,0,2,22,50,18,3,3,1,"$12,579","$10,582"
290,Malone Apartments,99,115,3,0,0,0,0,1,14,13,84,52,61,32,2,0,0,10,18,46,16,3,3,3,"$12,160","$10,582"
295,Commonwealth Elderly,115,145,0,0,1,0,0,1,19,24,100,89,28,21,0,28,0,7,24,56,15,5,1,7,"$13,341","$10,345"
298,Hampton House,74,88,0,0,0,0,0,0,4,21,63,33,34,20,0,21,0,6,13,38,12,2,2,1,"$12,120","$10,582"
299,Washington Manor,73,87,0,0,0,0,0,0,10,13,64,29,29,21,0,29,0,8,5,42,11,3,1,3,"$13,056","$10,486"
602,Franklin Field Elderly,62,85,3,6,1,1,,2,7,7,58,33,49,35,1,2,0,11,10,30,10,1,0,0,"$10,100","$10,342"
603,MSGR Powers / L Street,64,72,0,0,0,0,0,0,2,11,59,62,6,9,1,3,0,5,8,27,10,5,5,4,"$14,885","$11,510"
606,Basilica,5,7,0,0,0,0,0,0,0,1,6,6,1,2,0,0,0,0,0,2,2,1,0,0,"$14,705","$15,072"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elderly/Disabled Totals,"3,355","3,940",12,25,11,5,15,16,368,636,"2,841","1,852","1,534",810,22,518,12,259,637,"1,604",476,141,98,138,"$13,098","$10,555"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Totals,"10,676","21,767","1,799","3,134",846,814,"1,366",734,"5,461","2,739","4,658","10,638","9,172","9,635",121,"1,764",68,"1,396","2,155","3,403","1,396",677,515,"1,133","$14,599","$10,582"
